Page Header,Name,Match Number,Assignment,Robot?,Team (getting scouted),Page 2 Header,AMP Score (Auto),SPEAKER Score (Auto),Crossed Line?,Game Pieces Taken?,Page 3 Header,Used Coopertition Button,AMP Score (Teleop),SPEAKER Score (Teleop),Shuttled Notes,Intook From (Full Match),Page 4 Header,TRAP Score,Climb Type,Issues,Notes
,Logan,38,Red 1,9694,,,0,1,TRUE,Center Spike,,TRUE,0,0,0,Ground,,0,,,"Failed auto, mid defense"
,jonathan,38,Red 2,3310,,,0,3,TRUE,Center Spike,,TRUE,0,3,8,Ground,,1,Solo Climb,,
,Jalen,38,Blue 2,3546,,,0,1,FALSE,,,FALSE,0,4,0,Source,,1,Solo Climb,,
,Karos,38,Red 1,9694,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,,Didn’t score didn’t climb
,Freya,38,Blue 1,498,,,0,1,TRUE,,,FALSE,5,2,0,Ground,,0,,,
,Noah Carrillo,38,Red 3,6647,,,0,1,TRUE,Center Spike,,TRUE,4,7,0,Ground,,0,Solo Climb,Tipped/Tippy,"Good, fast shooter."
,Garys,38,Blue 3,9584,,,0,0,TRUE,,,TRUE,0,0,0,Source,,0,,,Got stuck on opposing chain. Didn't score anything.
,Freya,39,Blue 1,687,,,0,3,TRUE,,,FALSE,0,2,8,Ground,,0,,,
,Logan,39,Red 1,4414,,,0,2,TRUE,Center Line 5,,TRUE,4,1,6,Ground,,1,Solo Climb,,
,Karos,39,Red 1,4414,,,0,0,TRUE,,,FALSE,2,0,0,"Ground , Source",,0,,,Didn’t climb but was quick and accurate
,Jalen,39,Blue 2,4481,,,0,1,FALSE,,,FALSE,7,7,0,Source,,0,,,It did excellent
,Noah Carrillo,39,Red 3,3627,,,0,0,TRUE,,,TRUE,0,0,0,,,0,Solo Climb,,Something was definitely wrong with that robot. It required the top of it to be duct taped. Played defense due to that.
,jonathan,39,Red 2,8298,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,"Tipped/Tippy , Parts Fell Off/Robot Broke",looks like their shooter broke making it stick out being super top heavy so they just stayed still and played defense
,Garys,39,Blue 3,157,,,0,0,TRUE,,,TRUE,0,1,0,Ground,,0,,,
,Freya,40,Blue 1,8891,,,0,0,FALSE,,,FALSE,0,0,0,Source,,0,2 Robot Climb,,
,Jalen,40,Blue 2,9455,,,0,1,FALSE,,,FALSE,0,3,0,Source,,0,2 Robot Climb,,
,Karos,40,Red 1,33,,,0,0,TRUE,Center Line 1,,FALSE,0,4,0,"Ground , Source",,0,3 Robot Climb,,Really accurate and made a lot of points
,jonathan,40,Red 2,1250,,,0,1,TRUE,,,TRUE,5,2,0,Ground,,0,2 Robot Climb,,
,Noah Carrillo,40,Red 3,8592,,,0,1,TRUE,,,TRUE,4,1,1,Ground,,0,Solo Climb,,Just a slower bot compared to the rest. Still did well.
,Garys,40,Blue 3,195,,,0,1,FALSE,,,FALSE,0,0,0,,,0,,Disabled,"Was looking at wrong bot during auto but scored from afar.
Froze during game under chains."
,Logan,40,Red 1,33,,,0,0,TRUE,"Right Spike , Center Line 4 , Center Line 5",,TRUE,1,6,0,Ground,,0,2 Robot Climb,,Failed auto
,Freya,41,Blue 1,2096,,,0,0,TRUE,,,FALSE,1,0,0,Ground,,0,Solo Climb,,
,jonathan,41,Red 2,9421,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,Note Stuck In Robot,robot broke after auto but im not sure what it did during auti
,Jalen,41,Blue 2,1671,,,0,0,FALSE,,,TRUE,4,7,0,Source,,0,,,
,Noah Carrillo,41,Red 3,818,,,0,2,TRUE,"Left Spike , Center Line 4",,TRUE,6,2,0,Ground,,0,,Note Stuck In Robot,Was doing great until a note got stuck.
,Garys,41,Blue 3,8576,,,0,0,FALSE,,,TRUE,0,2,3,Ground,,0,,,
,Karos,41,Red 1,68,,,0,0,TRUE,Center Line 1,,FALSE,0,1,0,"Ground , Source",,0,,,was only shooting notes towards speaker for teammates. Was a little slow
,Logan,41,Red 1,68,,,0,0,TRUE,"Center Line 1 , Center Line 2",,FALSE,2,3,4,Ground,,0,,,
,Freya,42,Blue 1,4230,,,0,2,TRUE,,,FALSE,5,1,0,Ground,,0,Solo Climb,,
,Jalen,42,Blue 2,2079,,,0,1,FALSE,,,FALSE,0,0,0,,,0,,Disabled,
,Garys,42,Blue 3,5895,,,0,1,TRUE,Right Spike,,TRUE,2,6,3,Ground,,0,Solo Climb,,
,jonathan,42,Red 2,3128,,,0,2,TRUE,Center Line 3,,FALSE,1,2,7,Ground,,0,,,
,Karos,42,Red 1,4786,,,0,0,FALSE,,,FALSE,0,1,0,"Ground , Source",,0,2 Robot Climb,,Was alright
,Ligan,42,Red 1,4786,,,0,0,FALSE,,,TRUE,0,6,1,Ground,,0,Solo Climb,,Failed auto
,Noah Carrillo,42,Red 3,3175,,,0,0,TRUE,Center Line 1,,TRUE,9,5,0,Ground,,0,Solo Climb,,On the solo climb there was another robot but it did not pull itself up all the way.
,Karos,43,Red 1,302,,,0,0,TRUE,,,FALSE,0,0,0,"Ground , Source",,0,3 Robot Climb,,Didn’t really do anything good
,Freya,43,Blue 1,88,,,0,2,TRUE,,,FALSE,2,4,0,Ground,,1,Solo Climb,,I wasn’t watching during auto
,Noah Carrillo,43,Red 3,5715,,,0,1,TRUE,,,TRUE,4,8,0,Ground,,0,Solo Climb,,I think it stalled a couple of times but did really well.
,Garys,43,Blue 3,2370,,,0,1,TRUE,,,TRUE,0,3,6,Ground,,0,,,
,Logan,43,Red 1,302,,,0,3,TRUE,"Right Spike , Center Line 5",,TRUE,0,0,10,Ground,,1,Solo Climb,,
,Jonathan,43,Red 2,5940,,,0,1,TRUE,"Center Line 1 , Center Line 2",,TRUE,0,1,3,Ground,,1,Solo Climb,,
,Freya,44,Blue 1,1403,,,0,3,TRUE,,,FALSE,2,1,0,Ground,,0,,Disabled,Stop halfway through match
,Logan,44,Red 1,6574,,,0,1,TRUE,"Right Spike , Center Spike",,FALSE,2,4,0,Ground,,0,Solo Climb,,
,Noah Carrillo,44,Red 3,509,,,0,1,TRUE,Left Spike,,TRUE,1,1,4,Ground,,0,Solo Climb,,Was a bit slow. I wouldn’t pick it.
,Garys,44,Blue 3,5705,,,0,0,FALSE,Center Line 1,,FALSE,0,3,0,Ground,,0,,,
,jonathan,44,Red 2,3494,,,0,0,FALSE,,,TRUE,4,0,0,Ground,,1,Solo Climb,,auto went and made some circlrs
,Karos,44,Red 1,6574,,,0,1,TRUE,Center Line 2,,FALSE,0,3,0,"Ground , Source",,0,3 Robot Climb,,Really accurate shooter
,Freya,45,Blue 1,180,,,0,4,TRUE,,,FALSE,2,2,0,Ground,,0,Solo Climb,,
,Jalen,45,Blue 2,1218,,,0,2,FALSE,Left Spike,,FALSE,0,2,0,Source,,2,3 Robot Climb,,
,Garys,45,Blue 3,8013,,,0,2,TRUE,"Center Spike , Left Spike",,TRUE,2,3,0,"Ground , Source",,1,Solo Climb,,
,Karos,45,Red 1,192,,,0,1,FALSE,Center Spike,,FALSE,0,2,0,"Ground , Source",,0,,,Couldn’t climb up all the way
,jonathan,45,Red 2,9072,,,0,0,TRUE,,,TRUE,0,3,6,Ground,,0,,,wasbt ready not sure abt auto except for line cross
,Logan,45,Red 1,192,,,0,0,TRUE,"Center Spike , Left Spike",,TRUE,0,3,3,Ground,,0,,,"Missed all auto speaker shots, notes take a really long time between intake and shooter"
,Davin,45,Red 3,3641,,,0,0,TRUE,,,TRUE,6,5,0,Ground,,0,Solo Climb,,Very reliable shooter for AMP
,Fanta,51,Red 2,7712,,,0,1,FALSE,,,TRUE,3,3,0,Ground,,0,,,"Attempted to take center line 1, but failed, kinda slow and inconsistent"
,Davin,46,Red 3,2046,,,,0,TRUE,,,TRUE,3,5,2,Ground,,0,,Tipped/Tippy,Can shoot from end of stage into the SPEAKER accurately
,Davin,47,Red 3,9726,,,,0,FALSE,,,FALSE,0,0,0,,,0,,,Robot got stuck on other robot. Exclusively blocks speakers
,Fanta,47,Red 2,7525,,,0,3,TRUE,"Right Spike , Center Spike , Center Line 5",,FALSE,7,2,0,Ground,,0,,,Consist shooting
,Leif,47,Blue 3,3006,,,0,0,FALSE,,,FALSE,0,4,0,Ground,,0,,,"Another robot got on top of the robot and disabled it for the rest of the match a little more than half way through. The robot was able to adjust its shooter to shoot slightly further away from the subwoofer, although this was not very advantageous in defense."
,Davin,48,Red 3,456,,,0,1,FALSE,,,FALSE,0,1,0,Ground,,0,,,Blocked blue path.
,Leif,48,Blue 3,3310,,,0,2,TRUE,Center Line 2,,FALSE,0,5,8,Ground,,0,Solo Climb,,"Robot was able to score a plentiful amount of notes, and shoot the notes relatively far for scuttled notes. The robot failed to score a trap note by one or two seconds, additionally, the driver had some trouble with the # of notes, having more than one note at once."
,Fanta,48,Red 2,8214,,,0,2,FALSE,"Left Spike , Center Line 1",,FALSE,0,4,1,Ground,,0,,,"Not really that fast, but pretty accurate auto"
,Coby,49,Blue 2,4270,,,0,2,TRUE,"Left Spike , Center Line 4 , Center Line 5",,,3,3,0,Ground,,1,Solo Climb,,Fast but misses like all their shots
,Davin,49,Red 3,498,,,0,1,TRUE,,,TRUE,3,0,0,Ground,,0,,,Unreliable shooter for SPEAKER
,Fanta,49,Red 2,9576,,,0,3,FALSE,"Center Spike , Left Spike",,TRUE,0,7,0,Ground,,0,,,"Parked on stage, pretty accurate shooting, kinda fast"
,Leif,49,Blue 3,6615,,,0,1,TRUE,,,TRUE,0,5,0,Ground,,0,,,"Interesting score and intake, they are both the same thing, which does take some times to lower and raise. The robot additionally can stand severe hits, as it suffered about two throughout the match. The shooting power on the robot is also weak, subsequently cussing it to miss a few shots that it took on the shooter."
,Davin,50,Red 3,5809,,,0,2,TRUE,Left Spike,,TRUE,0,3,0,Ground,,0,,,Stuck in corner. Very quick shooter for SPEAKER
,Coby,50,Blue 2,1781,,,0,3,TRUE,"Center Spike , Left Spike",,TRUE,2,4,3,Ground,,0,,,"It’s driving was fine, speed fine, held back by alliance"
,Fanta,50,Red 2,8613,,,0,3,FALSE,"Center Line 3 , Center Line 4 , Center Line 5",,TRUE,0,1,9,Ground,,0,2 Robot Climb,,"Very fast, but is inaccurate when shooting in speaker"
,Leif,50,Blue 3,6652,,,0,1,TRUE,,,TRUE,0,0,0,Ground,,0,,,"The robot failed to shoot any notes well. It constantly shot over the speaker, loosing multiple cycles, even though one robot’s strategy was focused on scuttle notes. The intake is yet again the same mech as the shooter, causing massive weight distribution problems, slowing the robot and making it appear to be easily defendable. The intake additionally was not able to keep the notes held in place for very long."
,Coby,51,Blue 2,4414,,,0,2,TRUE,"Center Line 4 , Center Line 5",,TRUE,1,5,0,Ground,,1,Solo Climb,,"They’re really fast at scoring, but really fragile, you could probably hit them a couple of times to disable them"
,Fanta,51,Red 2,9421,,,0,0,FALSE,,,TRUE,0,0,0,,,0,,,"Remained near the stage the entire time, attempting defense"
,Davin,51,Red 3,1671,,,0,2,TRUE,Center Line 1,,TRUE,5,4,0,Ground,,0,,,Has to shoot close to speaker.
,Leif,51,Blue 3,3128,,,0,1,FALSE,Center Line 3,,TRUE,0,3,5,Ground,,0,,,"The robot failed to complete climb, still touching the ground. The robot played relatively well, but failed to get to certain points on the field quickly due to the other team’s defense."
,Coby,52,Blue 2,68,,,0,0,FALSE,,,TRUE,0,2,5,Ground,,0,Solo Climb,,"No auto, shuttled notes well but missed basically all the shots, not particularly powerful motors so can get pushed around"
,Davin,52,Red 3,302,,,0,1,TRUE,Center Spike,,FALSE,0,1,7,Ground,,1,Solo Climb,,Can shoot from very far. Great for exclusively shuttling
,Fanta,52,Red 2,4786,,,0,1,FALSE,"Center Line 2 , Center Line 3",,TRUE,7,6,0,Ground,,0,Solo Climb,,"Pretty accurate in amp, fast-ish, fast when it comes to climbing"
,Leif,52,Blue 3,9584,,,0,1,FALSE,,,FALSE,0,1,2,Source,,0,,,"Robot was slow throughout the match, making it miss several cycles. The robot is additionally a kit bot, (slightly modified) which led it to be easily overrun by the other robots."
,Davin,53,Red 3,818,,,0,1,TRUE,Center Spike,,TRUE,4,5,0,Ground,,0,Buddy Climb,,Accurate shooting into AMP and SPEAKER
,Coby,53,Blue 2,1250,,,0,0,TRUE,"Left Spike , Center Line 4 , Center Line 5",,TRUE,0,4,1,Ground,,0,Solo Climb,,"Really fast climb, good driver, firing mechanism ruins whole bot (soooo slow)"
,Fanta,53,Red 2,2370,,,0,0,TRUE,,,TRUE,0,0,15,Ground,,0,,,"Attempted to do a two robot climb, fast and basically only shuttled"
,Coby,54,Blue 2,33,,,0,3,TRUE,"Left Spike , Center Line 5",,TRUE,2,3,0,Ground,,0,2 Robot Climb,Note Stuck In Robot,
,Davin,54,Red 3,8298,,,0,0,FALSE,,,FALSE,0,0,0,Ground,,0,,,Terrible SPEAKER shooting accuracy
,Logan,54,Red 1,4230,,,0,1,FALSE,,,TRUE,4,3,0,Ground,,0,,,My auton scouting wasn’t accurate
,Fanta,54,Red 2,9429,,,0,0,FALSE,,,TRUE,0,0,0,Source,,0,,Tipped/Tippy,Often attempts to score but has a weak and inaccurate shooter and it’s really slow and tippy
,Leif,54,Blue 3,8891,,,0,0,FALSE,,,TRUE,0,0,3,Ground,,0,2 Robot Climb,,"Robot was relatively slow, shooting power was additionally terrible, resulting in it missing 2 or 3 notes. The shooting power also led the shuttled notes to not being very useful, it may have been more beneficial as a defense robot, considering it’s square shape."
,Logan,55,Red 1,5705,,,0,0,FALSE,,,TRUE,0,0,10,Ground,,0,Solo Climb,,
,Coby,55,Blue 2,4909,,,0,3,TRUE,"Center Spike , Left Spike",,TRUE,0,2,7,Ground,,1,Solo Climb,,"Fast, shuttled, possibly lost part?"
,sofiya,55,Blue 1,1218,,,0,4,TRUE,"Left Spike , Center Line 4 , Center Line 5",,FALSE,0,3,0,Ground,,0,Solo Climb,,"shuttling notes over stage, fast accurate shooter, smooth operator"
,Davin,55,Red 3,5715,,,0,2,TRUE,Center Line 2,,TRUE,1,3,0,Ground,,0,,,Very quick shooter SPEAKER and accurate
,Leif,55,Blue 3,1325,,,0,2,FALSE,"Center Line 2 , Center Line 3",,TRUE,6,6,,Ground,,0,Solo Climb,,"The robot scored efficiently with limited problems from other robots. Their robot appears to work best with another robot doing a shuttled note strategy. The robot’s amp and speaker score is neither slow nor fast, but is very consistent."
,Fanta,55,Red 2,2096,,,0,3,TRUE,"Center Spike , Left Spike",,TRUE,2,5,0,Ground,,0,Solo Climb,,"They really struggle to keep their note in, often times making them shoot weakly. Inconsistent speaker shooting."
,Coby,56,Blue 2,1403,,,0,2,TRUE,"Right Spike , Center Spike",,TRUE,7,3,0,Ground,,0,,,
,Davin,56,Red 3,7525,,,0,5,FALSE,"Center Spike , Left Spike , Center Line 4 , Center Line 5",,TRUE,3,4,0,Ground,,0,,,Accurate shooter for AMP and SPEAKER
,Logan,56,Red 1,5895,,,0,1,TRUE,,,TRUE,4,6,0,Ground,,0,Solo Climb,,
,Leif,56,Blue 3,8214,,,0,0,TRUE,Center Line 2,,TRUE,0,3,1,Ground,,0,,,"The robot was very slow near the end of the match, possibly some power issues."
,sofiya,56,Blue 1,3546,,,0,2,TRUE,Left Spike,,TRUE,0,4,0,Ground,,1,Solo Climb,,"kinda slow cycling but overall pretty decent bot (I think, tbh I missed a bit of teleop)"
,Coby,57,Blue 2,6615,,,0,0,FALSE,,,TRUE,0,6,0,Ground,,0,Solo Climb,,
,Leif,57,Blue 3,6574,,,0,2,FALSE,Center Spike,,TRUE,0,0,0,Ground,,0,Solo Climb,Parts Fell Off/Robot Broke,"The robot’s shooter/amp score failed in the beginning of the match, making the robot fairly ineffective. The robot’s size allows it to pin other robots, but average movement speed does not always assist it in pinning the robots."
,Lucas,57,Blue 1,3627,,,0,1,FALSE,,,FALSE,0,2,0,Source,,0,,Note Stuck In Robot,Everytime they took a piece in it got jammed soooo
,Fanta,57,Red 2,108,,,0,2,TRUE,Center Spike,,TRUE,2,5,0,Ground,,0,Solo Climb,,Accurate shooter
,Davin,57,Red 3,3310,,,0,0,TRUE,,,FALSE,2,1,3,Ground,,0,,,Very quick shooter. Accurate AMP shou
,sofiya,57,Blue 1,3627,,,0,1,TRUE,,,FALSE,0,4,0,Ground,,0,Solo Climb,,take a very long time to spin up to shoot I think or it's poor driving but very slow speaker
,Logan,57,Red 1,2080,,,0,1,FALSE,,,TRUE,1,0,0,Ground,,0,,,"Really slow, couldnt intake for a long time."
,Logan,58,Red 1,3357,,,0,2,FALSE,"Left Spike , Center Line 4 , Center Line 5",,TRUE,6,5,0,Ground,,0,Solo Climb,,
,Coby,58,Blue 2,5940,,,0,2,TRUE,Center Spike,,TRUE,0,7,3,Ground,,0,Solo Climb,,"Really fast, its auto went for 5 but only scored 2"
,Lucas,58,Blue 1,498,,,0,0,FALSE,,,FALSE,6,2,0,"Ground , Source",,0,,Note Stuck In Robot,"Got a note stuck, was able to get it out, not great at speaker scoring"
,Davin,58,Red 3,192,,,,0,TRUE,"Center Line 2 , Center Line 3",,TRUE,0,1,0,Ground,,1,Solo Climb,,Kind of Slow bot
,Fanta,58,Red 2,9726,,,0,0,FALSE,,,TRUE,0,0,0,,,0,,,"Acted as defense, was stationed in front of blues subwoofer, and parked on staged"
,Leif,58,Blue 3,2834,,,0,0,FALSE,,,TRUE,0,0,13,Ground,,0,Solo Climb,,"The robot was good at its purpose, but failed to shoot far enough on a few shots. It also attempted a trap score, but failed. The auto was also poor, as it stood still."
,sofiya,58,Blue 1,498,,,0,1,TRUE,,,TRUE,5,3,0,Ground,,0,,,"I missed autonomous ngl but they were doing good in teleop, accurate shooter and fast and good at amp"
,Lucas,59,Blue 1,3134,,,0,1,TRUE,,,TRUE,3,2,0,"Ground , Source",,0,Solo Climb,,
,Davin,59,Red 3,3494,,,0,0,FALSE,,,TRUE,5,1,2,Ground,,1,Solo Climb,,Very accurate shooter for SPEAKER & AMP
,Fanta,59,Red 2,456,,,0,1,FALSE,Center Spike,,TRUE,0,6,0,Ground,,0,Solo Climb,,"Sometimes overshoots in speaker, but overall good at shooting in speaker"
,Coby,59,Blue 2,157,,,0,2,TRUE,Left Spike,,TRUE,2,3,0,Ground,,0,Solo Climb,,"SOOOO SLOW, turning speed is terrible, firing speed is slow & misses"
,Logan,59,Red 1,2046,,,0,2,FALSE,Left Spike,,FALSE,0,6,7,Ground,,1,Solo Climb,,
,Leif,59,Blue 3,1781,,,0,4,FALSE,"Right Spike , Center Spike , Left Spike",,TRUE,0,1,9,Ground,,0,Solo Climb,,"The robot was able to quickly transport notes from one side of the field to the other. Overall the robot’s efficiency was pretty good, only making one shuttled note going on top of the stage. (Power may be a little low with shooting, which led to little distance across the field)"
,sofiya,59,Blue 1,3134,,,0,1,TRUE,,,FALSE,1,5,0,Ground,,0,Solo Climb,,"got defended but did alright regardless, they had an auto where they went after far notes I just missed it,"
,Logan,60,Red 1,2531,,,0,1,TRUE,Center Line 1,,TRUE,2,4,0,Ground,,0,,,
,Fanta,60,Red 2,3374,,,0,1,TRUE,,,TRUE,0,0,0,,,0,,Disabled,"For the first half played as defense, in latter half disabled"
,Coby,60,Blue 2,180,,,0,3,FALSE,"Left Spike , Center Line 3",,TRUE,3,5,2,Ground,,0,,Tipped/Tippy,Really physically shakey
,Lucas,60,Blue 1,9576,,,0,1,TRUE,,,FALSE,0,5,0,Source,,0,Solo Climb,,
,Leif,60,Blue 3,5993,,,0,1,FALSE,Center Spike,,TRUE,0,1,0,Ground,,0,Solo Climb,,"The robot’s shooter is very slow, most of their shots were too weak, loosing them multiple cycles."
,Davin,60,Red 3,4481,,,0,2,TRUE,"Center Line 3 , Center Line 4",,TRUE,5,5,0,Ground,,0,Solo Climb,,Very quick climb. Can shoot from far accurately and quickly into SPEAKER. Very accurate AMP shooter
,Aiden,61,Blue 3,509,,,0,0,TRUE,Center Line 1,,TRUE,1,2,0,Ground,,0,Solo Climb,,"Speaker shooter was a bit off, driver was decent"
,sofiya,61,Blue 1,5809,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike , Center Line 5",,FALSE,0,7,2,Ground,,0,,,"shuttled notes low and high, good driving"
,Taj,61,Red 3,5232,,,0,0,TRUE,,,TRUE,0,0,9,Ground,,0,Solo Climb,,"Fast, shot for scoring like twice just shuttled whole time"
,Jazlyn,61,Red 2,3641,,,0,0,FALSE,,,TRUE,0,7,0,Ground,,0,Solo Climb,,couldn’t see auto nor the beginning of teleport but really good speaker scorers
,jonathan,61,Blue 1,5809,,,0,2,TRUE,"Center Spike , Center Line 5",,TRUE,3,7,2,Ground,,0,,,
,Dillon,61,Blue 2,3006,,,0,0,FALSE,,,TRUE,1,1,0,"Ground , Source",,0,,Note Stuck In Robot,It hd a stuck note. Didnt do much. I also could not see for the first half
,jonathan,62,Blue 1,6328,,,0,2,TRUE,,,TRUE,0,5,5,Ground,,1,Solo Climb,,
,Taj,62,Red 3,2079,,,0,3,TRUE,,,TRUE,4,3,0,Source,,0,Solo Climb,,Note got stuck for a little
,Aiden,62,Blue 3,8013,,,0,0,,,,TRUE,3,3,0,"Ground , Source",,0,Solo Climb,,Couldnt see auto. Very quick cycles and made most of their speaker shots
,sofiya,62,Blue 1,6328,,,0,2,FALSE,"Center Line 3 , Center Line 4 , Center Line 5",,TRUE,0,4,5,Ground,,1,Solo Climb,,"fast intake powerful accurate shooter but sometimes overshoot- shot note out of field while shuttling, good far note autos"
,Dillon,62,Blue 2,6652,,,0,0,FALSE,,,TRUE,0,0,0,,,0,,Tipped/Tippy,Watch the vod. Craziest robot eva
,Jazlyn,62,Red 2,8159,,,0,1,TRUE,,,TRUE,0,3,8,Ground,,0,,,mostly shuttled notes but did score a couple times. missed 5th and 4th center line during auto
,Nisala,2,Blue 1,5895,,,0,4,TRUE,,,FALSE,3,9,0,Ground,,0,Solo Climb,,
,Nisala,2,Blue 2,88,,,0,0,TRUE,,,FALSE,1,2,2,Ground,,1,Solo Climb,,Very bad driver -- wasted so much time
,Nisala,2,Blue 3,157,,,0,1,TRUE,,,FALSE,0,6,1,Ground,,0,Solo Climb,,
,Nisala,3,Red 1,3175,,,0,4,TRUE,,,TRUE,7,0,0,Ground,,0,,,Tried to climb but didn't get high enough
,Nisala,3,Red 2,3627,,,0,0,FALSE,,,TRUE,0,5,0,Ground,,0,,,"Solo climb failed, didn't go high enough"
,Nisala,3,Red 3,6652,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,Tipped/Tippy,Fell over very quickly and didn't do anything else. Very bad pick.
,Nisala,3,Blue 1,3006,,,0,4,TRUE,,,TRUE,0,6,9,Ground,,0,Solo Climb,,
,Nisala,3,Blue 2,9584,,,0,1,FALSE,,,FALSE,0,1,0,,,0,,,Bad defense and bad shooter. Tank bot.
,Nisala,3,Blue 3,9072,,,0,2,TRUE,,,TRUE,5,8,0,Ground,,0,,Disabled,"Was doing great, but then tried to intake a note (or maybe got stuck?) and then disabled in the last thirty seconds."
,Aiden,6,Blue 1,509,,,0,0,TRUE,Center Line 1,,FALSE,6,1,0,Ground,,0,Solo Climb,,"Pretty fast amp cycle, okay driver"
,Aiden,6,Blue 2,9576,,,0,1,FALSE,,,FALSE,0,7,0,Ground,,0,,,"Bad amp scorer, pretty fast"
,Aiden,10,Red 1,6615,,,0,0,FALSE,,,FALSE,0,0,0,,,0,Solo Climb,,"Heavy defense bot, did nothing for auto"
,Nisala,5,Red 1,3357,,,0,2,TRUE,,,FALSE,2,5,0,Ground,,0,2 Robot Climb,,
,Nisala,5,Red 3,180,,,0,3,TRUE,,,FALSE,4,4,0,Ground,,0,Solo Climb,,
,Nisala,5,Blue 1,4270,,,0,3,TRUE,,,FALSE,7,7,0,Ground,,0,Solo Climb,,
,Nisala,5,Blue 2,2079,,,0,1,FALSE,,,FALSE,0,1,0,,,0,,,"Kinda bad defense, didn't stop much tbh"
,seastiee,30,Red 2,818,,,0,2,TRUE,Center Line 1,,FALSE,5,7,0,Ground,,0,Solo Climb,,gas
,Luke,63,Red 1,8613,,,0,3,TRUE,"Right Spike , Center Line 1 , Center Line 2",,TRUE,0,5,8,Ground,,0,,,"Seems like they have adjusting auto or whatever, was picking up notes not on the center line, primarily fed notes and shooter was a bit inaccurate"
,Nisala,64,Red 1,1403,,,0,4,TRUE,,,FALSE,6,3,2,Ground,,0,,,
,Luke,64,Red 1,1403,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,6,3,2,Ground,,0,,,Carried
,Nisala,65,Red 1,818,,,0,1,TRUE,,,FALSE,2,1,5,Ground,,0,Solo Climb,,
,Luke,65,Red 1,818,,,0,1,TRUE,Left Spike,,TRUE,2,1,9,Ground,,0,Solo Climb,Made Other Auto Fail,"Auto failed, mostly fed but could score any way except trap"
,Luke,66,Red 1,192,,,0,3,TRUE,,,TRUE,4,1,0,Ground,,0,Solo Climb,,"Notes kept getting stuck in intake, really slow process, driver kinda bad cause his movements slow"
,Luke,67,Red 1,1325,,,0,1,TRUE,Center Line 2,,TRUE,1,10,0,Ground,,0,,Parts Fell Off/Robot Broke,"Climber broke, but quick cycles and driver fell into a groove"
,Nisala,67,Red 1,1325,,,0,1,TRUE,,,FALSE,1,10,2,Ground,,0,,Made Other Auto Fail,"Made contact under the stage, giving opposition RP"
,Nisala,68,Red 1,4786,,,0,1,FALSE,,,TRUE,0,1,9,Ground,,0,,,Decent shuttler
,Luke,69,Blue 2,3374,,,0,0,FALSE,,,TRUE,0,0,0,,,0,,,Only defense and not great at it
,Nisala,69,Red 1,3128,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,,"Decent defense — nothing out of this world, but good"
,Luke,70,Red 1,3006,,,0,0,TRUE,,,TRUE,2,2,0,Ground,,0,Solo Climb,Made Other Auto Fail,"Real slow cycles, inaccurate shots"
,jonathan,71,Blue 1,157,,,0,1,TRUE,Right Spike,,TRUE,3,3,0,Ground,,0,,,
,Aiden,71,Blue 3,5993,,,0,1,FALSE,,,TRUE,0,0,0,,,0,,Disabled,Disabled in teleop
,Luke,71,Red 1,8013,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,4,6,0,"Ground , Source",,1,Solo Climb,,"Quick cycles, source intake is versatile so quick intake"
,Taj,71,Red 3,4270,,,0,1,TRUE,,,TRUE,3,3,0,Ground,,0,,,"Fast, kinda takes a while shooting for speaker"
,Jazlyn,71,Red 2,9694,,,0,0,TRUE,,,TRUE,0,0,0,,,0,,Made Other Auto Fail,auto failed and took a while to figure out how to shoot notes but ended up just playing defense after
,Luke,72,Red 1,2079,,,0,2,TRUE,"Center Spike , Left Spike",,TRUE,5,5,0,Ground,,0,,,Meh robot meh driver
,Taj,72,Red 3,6652,,,0,1,FALSE,,,TRUE,0,0,0,Ground,,0,,Tipped/Tippy,Robot really bad at shooting and really tippy
,jazzy,72,Red 2,8576,,,0,0,TRUE,,,TRUE,0,5,7,Ground,,0,,,"attempted to climb in the end, only really shuttled note with occasionally shooting in the amp"
,Dillon,72,Blue 2,5232,,,0,0,TRUE,,,TRUE,0,0,2,Source,,0,Solo Climb,Note Stuck In Robot,Note stuck in floor intake. Really bad defense. Confused driver.
,jonathan,72,Blue 1,7712,,,0,1,TRUE,"Right Spike , Center Spike",,TRUE,2,3,0,Ground,,0,Solo Climb,,
,Aiden,72,Blue 3,88,,,0,1,TRUE,"Left Spike , Center Line 5",,TRUE,5,4,0,Ground,,0,,,Got kind of stuck under the stage due to bad-ish driver. Attempted to climb
,Taj,73,Red 3,2046,,,0,2,TRUE,,,TRUE,0,4,5,Ground,,0,,,
,Aiden,73,Blue 3,9421,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,,Did pretty much nothing
,jonathan,73,Blue 1,7525,,,0,4,TRUE,"Center Spike , Left Spike , Center Line 5",,TRUE,1,1,0,Ground,,0,,,cpnnection issues???
