Page 1 Header,Name,Match Number,Assignment,Robot?,Team (getting scouted),Page 2 Header,AMP Score (Auto),SPEAKER Score (Auto),Crossed Line?,Game Pieces Taken?,Page 3 Header,Used Coopertition Button,AMP Score (Teleop),SPEAKER Score (Teleop),Page 4 Header,TRAP Score,Climb Type,Issues,Intook From (Full Match),Notes
,Maggie,17,Red 2,6055,,,0,0,TRUE,,,FALSE,1,3,,0,Solo Climb,,Ground,
,Danyar,17,Red 2,6055,,,0,1,FALSE,,,FALSE,1,5,,1,2 Robot Climb,,"Ground , Source",
,Ridge,17,Blue 2,1781,,,0,1,FALSE,,,FALSE,3,5,,0,Solo Climb,,Ground,
,Damari,17,Blue 1,2341,,,0,0,FALSE,,,FALSE,0,1,,0,,Failed Auto,Ground,
,Coby,17,Blue 2,1781,,,0,0,FALSE,,,TRUE,1,6,,0,Solo Climb,Failed Auto,Ground,
,Noah Carrillo,17,Red 3,3792,,,0,0,FALSE,,,FALSE,0,3,,0,,"Disabled , Failed Auto",Ground,
,Owen Reynolds,17,Red 1,5437,,,0,0,FALSE,,,FALSE,0,0,,0,Solo Climb,"Tipped/Tippy , Parts Fell Off/Broke",,"Extremely Tippy, parts were flying off as it crashed into the stage and blue alliance robots"
,Owen Reynolds,17,Red 1,5437,,,0,0,FALSE,,,FALSE,0,0,,0,Solo Climb,"Tipped/Tippy , Parts Fell Off/Broke",,"Extremely Tippy, parts were flying off as it crashed into the stage and blue alliance robots"
,Logan,17,Red 3,3792,,,0,0,FALSE,,,FALSE,0,1,,0,2 Robot Climb,Parts Fell Off/Broke,Ground,They were very clumsy and snapped a piece their intake.
,sofiya,17,Blue 3,8044,,,0,0,TRUE,,,FALSE,2,3,,0,Solo Climb,,Ground,
,Maggie,18,Red 2,9608,,,0,0,TRUE,,,FALSE,0,1,,0,Solo Climb,,,
,Coby,18,Blue 2,16,,,0,2,FALSE,,,FALSE,0,3,,0,Solo Climb,,"Ground , Source",
,Damari,18,Blue 1,5454,,,0,0,FALSE,,,FALSE,1,1,,0,,,Ground,
,lucia,18,Blue 3,3937,,,0,1,TRUE,"Center Line 1 , Center Line 2",,TRUE,5,5,,0,,,"Ground , Source",very inconsistent shooter
,Fanta,18,Blue 1,5454,,,0,0,TRUE,,,FALSE,2,1,,1,,,Ground,
,Danyar,18,Red 2,9608,,,0,0,FALSE,,,FALSE,0,1,,0,2 Robot Climb,,Source,
,Noah Carrillo,18,Red 3,9429,,,0,0,TRUE,,,FALSE,0,0,,0,,"Disabled , Failed Auto",Source,
,Ridge,18,Blue 2,16,,,0,3,FALSE,,,FALSE,0,4,,0,Solo Climb,,Ground,Focused on firing towards teammates that round
,Jonathan,18,Red 1,323,,,0,0,FALSE,,,FALSE,2,0,,0,,Tipped/Tippy,,note got stuck and flipped onto its side
,sofiya,18,Blue 3,3937,,,0,1,TRUE,"Center Line 4 , Center Line 5",,FALSE,6,4,,0,,,,
,Logan,18,Red 3,9429,,,0,0,FALSE,,,FALSE,0,0,,0,Solo Climb,,Source,"Its a kit bot, they couldn’t shoot or defend."
,Owen Reynolds,18,Red 1,323,,,0,0,TRUE,,,FALSE,2,0,,0,Solo Climb,"Disabled , Failed Auto",Ground,"Note got stuck in intake very early on, during climb the robot tipped over. Robot froze for a solid 20 seconds, defense was nothing to write home about."
,Damari,19,Blue 1,1038,,,0,0,FALSE,,,FALSE,4,0,,0,Solo Climb,,Ground,
,lucia,19,Blue 3,4336,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike",,FALSE,2,5,,0,Solo Climb,,"Ground , Source",nearly missed climb at the end
,Danyar,19,Red 2,9073,,,0,0,FALSE,,,FALSE,3,0,,0,Solo Climb,,Ground,
,Maggie,19,Red 2,9073,,,0,0,FALSE,,,TRUE,3,0,,0,,,Ground,Can only ground intake and amp score.
,Fanta,19,Blue 1,1038,,,0,0,FALSE,,,FALSE,5,0,,0,,,Ground,Only scored in amp
,Jonathan,19,Red 1,2357,,,0,0,TRUE,,,TRUE,2,1,,0,Solo Climb,,Ground,intake is kinda bad
,Noah Carrillo,19,Red 3,6186,,,0,0,FALSE,,,FALSE,1,0,,0,,,Source,Did not climb
,Ridge,19,Blue 2,4107,,,0,1,FALSE,,,FALSE,1,2,,0,,"Parts Fell Off/Broke , Failed Auto",Source,Intake broke partway into match
,Ridge,19,Blue 2,4107,,,0,1,FALSE,,,FALSE,1,2,,0,,"Parts Fell Off/Broke , Failed Auto",Source,Intake broke partway into match
,Owen Reynolds,19,Red 1,2357,,,0,1,TRUE,"Failed Right Spike , Failed Center Spike",,FALSE,2,1,,0,Solo Climb,Failed Auto,"Ground , Source","Missed amp one, auto wasn't optimized for under the bumper intake"
,sofiya,19,Blue 3,4336,,,0,2,TRUE,,,FALSE,1,5,,0,Solo Climb,,Ground,overshot frequently
,Logan,19,Red 3,6186,,,0,0,FALSE,,,FALSE,0,0,,0,Solo Climb,,Source,"They are on a tank drive system so they are very slow, and they couldn’t really line up to score anything. Their defense was also not great"
,lucia,20,Blue 3,3102,,,0,1,TRUE,,,TRUE,0,5,,0,Solo Climb,,"Ground , Source",
,Danyar,20,Red 2,2190,,,0,0,FALSE,,,TRUE,0,0,,0,,,Source,
,Damari,20,Blue 1,1622,,,0,2,FALSE,,,FALSE,4,3,,0,Solo Climb,,Ground,
,Noah Carrillo,20,Red 3,6586,,,0,0,TRUE,,,FALSE,0,0,,0,,,Source,Did not attempt to climb.
,Fanta,20,Blue 1,1622,,,0,2,FALSE,Left Spike,,FALSE,6,1,,0,Solo Climb,,Ground,
,Dillon,20,Red 1,6055,,,0,1,TRUE,,,FALSE,0,1,,0,,Parts Fell Off/Broke,Ground,Note got stuck
,Jonathan,20,Red 1,6055,,,0,1,TRUE,Failed Center Spike,,FALSE,0,1,,0,,Made Alliance Fail Climb,Ground,note got stuck midway
,Ridge,20,Blue 2,3792,,,0,0,FALSE,,,FALSE,0,2,,0,,"Disabled , Parts Fell Off/Broke , Failed Auto",Ground,An absolutely complete and utter breakdown
,Ridge,20,Blue 2,3792,,,0,0,FALSE,,,FALSE,0,2,,0,,"Disabled , Parts Fell Off/Broke , Failed Auto",Ground,An absolutely complete and utter breakdown
,Maggie,20,Red 2,2190,,,0,0,TRUE,,,FALSE,0,0,,0,,,Ground,Played defense for most of the match.
,Logan,20,Red 3,6586,,,0,0,TRUE,,,FALSE,0,0,,0,,,Ground,"Goodish driving but they are on tank drive, they couldn’t score in anything because their aim was off. Bad at defense"
,sofiya,20,Blue 3,3102,,,0,1,TRUE,,,FALSE,0,5,,0,Solo Climb,,Source,
,Coby,21,Blue 2,9608,,,0,0,FALSE,,,FALSE,0,2,,0,Solo Climb,Failed Auto,Source,
,alex,21,Blue 3,5002,,,0,0,FALSE,,,FALSE,0,1,,0,,Failed Auto,Ground,scored a single note and then just sat there under the stage 💀
,Jalen,21,Blue 2,9608,,,0,0,FALSE,,,FALSE,0,2,,1,Solo Climb,,Source,
,zofia,21,Red 2,2341,,,0,1,FALSE,,,FALSE,0,3,,0,Solo Climb,,Ground,"kept missing speaker, their climb scares me it’s just their arm folding on the chain"
,Aiden,21,Blue 1,8044,,,0,0,TRUE,,,FALSE,3,3,,0,Solo Climb,,Ground,
,Danyar,21,Red 1,9067,,,0,3,FALSE,,,TRUE,2,3,,1,Solo Climb,,"Ground , Source",
,Dillon,21,Red 1,9067,,,0,1,TRUE,,,FALSE,1,1,,0,,,"Ground , Source",I was so confused. It kept hitting walls.
,Leif,21,Blue 3,5002,,,0,0,FALSE,,,FALSE,0,1,,0,,Failed Auto,Ground,"Simply a bad robot. Many issues, moves slowly, did not do defense even though it could have tried. Moved to the stage and basically disabled when it picked up the broken note."
,Taj,21,Red 3,5454,,,0,0,FALSE,,,FALSE,1,4,,0,,,"Ground , Source",Auto not good
,Garys,21,Blue 1,8044,,,0,0,FALSE,,,FALSE,4,3,,0,Solo Climb,,Ground,Got a note stuck by swerve had to go defensive. Unable to climb I think (back heavy)
,Luke,21,Red 3,5454,,,0,1,FALSE,,,FALSE,2,4,,0,,,"Ground , Source","Amp scoring kinda violent, have to ram into amp for it to go in"
,Jazlyn,21,Red 2,2341,,,0,1,FALSE,,,FALSE,0,3,,0,Solo Climb,,Ground,"missed a lot of shots, kinda roamed for a bit"
,zofia,22,Red 2,5437,,,1,0,FALSE,,,FALSE,0,0,,0,Solo Climb,,,didn’t do ANYTHING BLEH we lost
,Danyar,22,Red 1,7525,,,0,3,FALSE,,,TRUE,1,7,,0,Solo Climb,,"Ground , Source",
,Luke,22,Red 3,9073,,,0,0,FALSE,,,FALSE,0,0,,0,,,,"Note got stuck, could only play defense"
,Jazlyn,22,Red 2,5437,,,0,0,FALSE,,,FALSE,0,0,,0,Solo Climb,,,
,Dillon,22,Red 1,7525,,,0,3,TRUE,,,FALSE,0,6,,0,,Disabled,"Ground , Source",New world conspiracy has forsaken us
,Garys,22,Blue 1,7483,,,0,0,FALSE,,,FALSE,2,0,,0,2 Robot Climb,Tipped/Tippy,Source,Mostly roamed around only attempted to score 3 times. Issues?
,Garys,22,Blue 1,7483,,,0,0,FALSE,,,FALSE,2,0,,0,2 Robot Climb,Tipped/Tippy,Source,Mostly roamed around only attempted to score 3 times. Issues?
,Taj,22,Red 3,9073,,,0,0,FALSE,,,FALSE,0,0,,0,,,,"Absolutely screwed us. Didn’t score once. If we could block teams, we should block them."
,Leif,22,Blue 3,3937,,,0,1,TRUE,"Center Line 1 , Center Line 2 , Center Line 3",,TRUE,4,3,,0,Solo Climb,,Ground,"Robot scored efficiently, as the team’s most balanced robot."
,Leif,22,Blue 3,3937,,,0,1,TRUE,"Center Line 1 , Center Line 2 , Center Line 3",,TRUE,4,3,,0,Solo Climb,,Ground,"Robot scored efficiently, as the team’s most balanced robot."
,Nisala,22,Blue 2,323,,,0,1,FALSE,"Left Spike , Center Spike , Right Spike , Center Line 5",,FALSE,0,4,,0,Solo Climb,,Ground,Able to evade defense
,Nisala,22,Blue 2,323,,,0,1,FALSE,"Left Spike , Center Spike , Right Spike , Center Line 5",,FALSE,0,4,,0,Solo Climb,,Ground,Able to evade defense
,zofia,23,Red 2,1038,,,0,0,FALSE,,,FALSE,2,0,,0,Solo Climb,,,
,Aiden,23,Blue 1,4336,,,0,1,TRUE,,,FALSE,3,3,,0,Solo Climb,,Ground,
,Danyar,23,Red 1,1781,,,0,1,FALSE,,,TRUE,1,4,,0,3 Robot Climb,,"Ground , Source",
,Taj,23,Red 3,3616,,,0,0,TRUE,,,FALSE,0,1,,0,Solo Climb,,Ground,Note stuck
,alex,23,Blue 3,9429,,,0,1,FALSE,,,FALSE,0,0,,0,,,,"no intake, defense was alright though"
,Luke,23,Red 3,3616,,,0,1,TRUE,,,FALSE,0,2,,0,Solo Climb,,,Notes kept getting stuck in intake
,Dillon,23,Red 1,1781,,,0,1,TRUE,,,FALSE,1,4,,0,Solo Climb,,"Ground , Source",RAHHHHHHHHH. BLUE TEAM BETTA.
,Garys,23,Blue 1,4336,,,0,1,FALSE,"Right Spike , Center Spike , Failed Left Spike",,FALSE,2,3,,0,2 Robot Climb,,Ground,
,Jazlyn,23,Red 2,1038,,,0,0,FALSE,,,FALSE,4,0,,0,Solo Climb,,Ground,aimed for amp
,Leif,23,Blue 3,9429,,,0,0,FALSE,,,FALSE,0,0,,0,,,,"Did not take any notes in, overall it seemed like a defense robot. Overall defense was very effective, it probably stalled other robots for a full 50-1:00 seconds."
,Nisala,23,Blue 2,2357,,,0,0,FALSE,,,FALSE,1,4,,0,Solo Climb,,Ground,
,Nisala,23,Blue 2,2357,,,0,0,FALSE,,,FALSE,1,4,,0,Solo Climb,,Ground,
,Danyar,24,Red 1,2992,,,0,2,FALSE,,,TRUE,3,2,,0,2 Robot Climb,,"Ground , Source",
,zofia,24,Red 2,8044,,,0,0,TRUE,,,FALSE,1,1,,0,Solo Climb,Failed Auto,Ground,"climbed with 20 seconds left, continually missed speaker notes, driver not good at positioning for speaker"
,alex,24,Blue 3,9608,,,0,0,FALSE,,,FALSE,0,0,,0,,,,"kitbot, cant intake and bad defense 😭"
,Aiden,24,Blue 1,3102,,,0,1,TRUE,,,FALSE,0,4,,0,Solo Climb,,Source,
,Leif,24,Blue 3,9608,,,0,0,FALSE,,,FALSE,0,0,,0,,Failed Auto,,"The robot is a defense, and nothing else."
,Taj,24,Red 3,6055,,,0,1,FALSE,,,FALSE,1,0,,0,Solo Climb,,Ground,Just copied bomb squad
,Garys,24,Blue 1,3102,,,0,1,FALSE,,,FALSE,0,4,,0,Solo Climb,,Source,
,Dillon,24,Red 1,2992,,,0,2,TRUE,,,FALSE,3,2,,0,,,"Ground , Source",Pretty impressive. Scored consistently and had good teamwork
,Luke,24,Red 3,6055,,,0,1,FALSE,,,FALSE,1,0,,0,Solo Climb,,Ground,Was feeding notes the whole time
,Jazlyn,24,Red 2,8044,,,0,0,TRUE,,,FALSE,2,2,,0,Solo Climb,,Ground,didn’t move at the beginning of the match switched between amp and speaker
,Jalen,24,Blue 2,16,,,0,2,TRUE,Center Spike,,FALSE,1,1,,0,Solo Climb,,Source,It was doing good but it struggled for a while with getting one of the notes in the amp
,Jalen,24,Blue 2,16,,,0,2,TRUE,Center Spike,,FALSE,1,1,,0,Solo Climb,,Source,It was doing good but it struggled for a while with getting one of the notes in the amp
,Luke,25,Red 3,5437,,,0,0,FALSE,,,FALSE,0,0,,0,Solo Climb,,,"Note got stuck, had to defend"
,Luke,25,Red 3,5437,,,0,0,FALSE,,,FALSE,0,0,,0,Solo Climb,,,"Note got stuck, had to defend"
,Ariana,25,Red 1,323,,,0,0,TRUE,,,FALSE,0,7,,0,,,"Ground, Source",
,Aiden,25,Blue 1,3937,,,0,1,TRUE,,,FALSE,2,1,,0,Solo Climb,,Ground,
,Garys,25,Blue 1,3937,,,0,1,FALSE,"Failed Center Line 1 , Failed Center Line 2",,FALSE,3,2,,0,2 Robot Climb,,Ground,
,Ariana,25,Red 2,1622,,,0,3,TRUE,"Center Spike, Left Spike",,FALSE,4,3,,0,,,Ground,
,Ariana,25,Red 2,1622,,,0,3,TRUE,"Center Spike, Left Spike",,FALSE,4,3,,0,,,Ground,
,Ariana,25,Blue 2,7525,,,0,2,FALSE,"Right Spike, Center Spike, Failed Left Spike",,FALSE,0,3,,0,,Disabled,Ground,Disabled at the end
,Ariana,25,Blue 2,7525,,,0,2,FALSE,"Right Spike, Center Spike, Faild Left Spike",,FALSE,0,3,,0,,Disabled,Ground,Disabled at the end
,Nisala,25,Red 1,323,,,0,0,TRUE,,,FALSE,0,7,,0,,,"Ground , Source","Goofy source intake, but that's okay."
,Nisalsa,25,Blue 3,4107,,,0,0,FALSE,,,FALSE,1,3,,0,,,Ground,"Failed climb, missed shots."
,Nisalsa,25,Blue 3,4107,,,0,0,FALSE,,,FALSE,1,3,,0,,,Ground,"Failed climb, missed shots."
,Jalen,26,Blue 2,3616,,,0,0,FALSE,,,FALSE,5,0,,0,Solo Climb,,Ground,
,Danyar,26,Red 1,9067,,,0,0,FALSE,,,FALSE,0,0,,0,Solo Climb,,"Ground , Source",
,Jazlyn,26,Red 2,6586,,,0,0,TRUE,,,FALSE,0,0,,0,,,,"didn’t do anything 😭
one wrong turn and it will fall"
,Jazlyn,26,Red 2,6586,,,0,0,TRUE,,,FALSE,0,0,,0,,,,"didn’t do anything 😭
one wrong turn and it will fall"
,alex,26,Blue 3,9429,,,0,2,TRUE,,,FALSE,0,0,,0,,,Source,
,Aiden,26,Blue 1,5002,,,0,1,FALSE,,,FALSE,0,0,,0,,,,Heavy defense
,Coby,26,Blue 2,3616,,,0,0,FALSE,,,FALSE,4,0,,0,Solo Climb,Failed Auto,"Ground , Source",
,Garys,26,Blue 1,5002,,,0,0,FALSE,,,TRUE,0,0,,0,Solo Climb,,Ground,Bad intake; does not touch keep; defensive.
,Leif,26,Blue 3,9429,,,0,0,TRUE,,,FALSE,0,2,,0,,Failed Auto,Source,"Another defense robot, which scored twice, and good at flipping over robots."
,Dillon,26,Red 1,9067,,,0,0,TRUE,,,TRUE,0,0,,0,,Parts Fell Off/Broke,Ground,Confused. It like drove around. Bad intake and shooter
,Nisala,26,Red 3,1038,,,0,0,FALSE,,,FALSE,4,0,,0,Solo Climb,,Ground,Very suceptible to defense -- not as fast as a swerve bot
,Nisala,26,Red 3,1038,,,0,0,FALSE,,,FALSE,4,0,,0,Solo Climb,,Ground,Very suceptible to defense -- not as fast as a swerve bot
,Aiden,27,Blue 1,1781,,,0,0,FALSE,,,FALSE,3,4,,0,Solo Climb,,"Ground , Source",
,Aiden,27,Blue 1,1781,,,0,0,FALSE,,,FALSE,3,4,,0,Solo Climb,,"Ground , Source",
,Jalen,27,Blue 2,2357,,,0,2,FALSE,Left Spike,,FALSE,2,0,,0,Solo Climb,,"Ground , Source",
,zofia,27,Red 2,3792,,,0,0,TRUE,,,FALSE,0,4,,0,,,Ground,
,Dillon,27,Red 1,6186,,,0,0,TRUE,,,TRUE,0,0,,0,,,"Ground , Source",Terrible
,Dillon,27,Red 1,6186,,,0,0,TRUE,,,TRUE,0,0,,0,,,"Ground , Source",Terrible
,alex,27,Blue 3,2190,,,0,0,TRUE,,,FALSE,0,0,,0,,,,"note got stuck, decent defense"
,Jazlyn,27,Red 2,3792,,,0,1,TRUE,,,TRUE,0,5,,0,,,Ground,
,Leif,27,Blue 3,2190,,,0,0,TRUE,,,FALSE,0,0,,0,,,,Yet another defense robot that prevented the other team’s robots from scoring by going to the other team’s subwoofer.
,Coby,27,Blue 2,2357,,,0,2,FALSE,,,FALSE,1,2,,0,Solo Climb,,"Ground , Source",
,Nisala,27,Red 3,5454,,,0,0,FALSE,,,FALSE,5,4,,0,,,Ground,Very impressive!
,Nisala,27,Red 3,5454,,,0,0,FALSE,,,FALSE,5,4,,0,,,Ground,Very impressive!
,Coby,28,Blue 2,9073,,,0,0,FALSE,,,FALSE,0,0,,0,,Failed Auto,,Can’t fire
,Jalen,28,Blue 2,9073,,,0,0,FALSE,,,FALSE,0,0,,0,,,,
,zofua,28,Red 2,2341,,,0,1,FALSE,,,TRUE,0,0,,0,,,,"idk if malfunctioned, nothing working only drive"
,alex,28,Blue 3,2992,,,0,0,TRUE,Left Spike,,FALSE,2,3,,0,,,Ground,
,Dillon,28,Red 1,4336,,,0,2,TRUE,,,TRUE,2,3,,0,,,"Ground , Source",It was ok at scoring.
,Garys,28,Blue 1,7483,,,0,0,FALSE,,,TRUE,1,1,,0,,Tipped/Tippy,Ground,
,Jazlyn,28,Red 2,2341,,,0,1,FALSE,,,TRUE,0,1,,0,,Tipped/Tippy,Ground,"couldn’t pick up notes, started playing defense"
,Leif,28,Blue 3,2992,,,0,0,TRUE,Left Spike,,FALSE,3,3,,0,,,Ground,"The robot paused for about 20 seconds to pick up a single note, the rest of the match was efficient."
,Aiden,28,Blue 1,7483,,,0,0,FALSE,,,FALSE,1,1,,0,,,Ground,
,Mariana,28,Red 1,4336,,,0,1,FALSE,"Center Spike , Left Spike , Failed Right Spike",,FALSE,2,2,,0,2 Robot Climb,,Ground,interferes with other teams auto causing them to and themselves to mess up in auto
,Nisala,28,Red 3,16,,,0,1,TRUE,,,FALSE,4,3,,0,Solo Climb,,,Inconsistent shooter from a distance
,Nisala,28,Red 3,16,,,0,1,TRUE,,,FALSE,4,3,,0,Solo Climb,,,Inconsistent shooter from a distance
,Danyar,29,Red 1,9067,,,0,0,FALSE,,,TRUE,0,5,,0,2 Robot Climb,,"Ground , Source",
,Jalen,29,Blue 2,1038,,,1,0,FALSE,,,FALSE,2,0,,1,Solo Climb,,Ground,
,Garys,29,Blue 1,3102,,,0,1,FALSE,,,FALSE,0,3,,0,Solo Climb,Tipped/Tippy,Source,
,Taj,29,Red 3,4107,,,0,0,FALSE,,,FALSE,2,1,,0,,,Ground,Slow slow cycles
,Aiden,29,Blue 1,3102,,,0,1,TRUE,,,FALSE,0,3,,0,,,Source,
,zofia,29,Red 2,9429,,,0,1,TRUE,,,FALSE,0,1,,0,Solo Climb,,Source,"only source so slow cycle, not a great bot or driver"
,Dillon,29,Red 1,9067,,,0,0,FALSE,,,FALSE,0,5,,0,Solo Climb,Parts Fell Off/Broke,"Ground , Source",Not got stuck but they fixed. No auto
,alex,29,Blue 3,6055,,,0,1,TRUE,,,FALSE,0,2,,0,,,Ground,slow and sorta flimsy
,Luke Thompson,29,Red 3,4107,,,0,0,FALSE,,,FALSE,4,2,,0,,,"Ground , Source",
,Coby,29,Blue 2,1038,,,0,0,FALSE,,,FALSE,4,0,,1,Solo Climb,,"Ground , Source",
,Leif,29,Blue 3,6055,,,0,1,TRUE,,,FALSE,0,3,,0,,,Ground,"Attempted to climb but did not have enough time, along with its climber being small and hard to position."
,Jazlyn,29,Red 2,9429,,,0,1,FALSE,,,FALSE,0,2,,0,,,,i’m sorry but what was that 😢😢
,Luke,30,Red 3,3937,,,0,1,TRUE,,,TRUE,3,1,,0,Solo Climb,,Ground,
,Taj,30,Red 3,3937,,,0,1,FALSE,,,FALSE,1,2,,0,Solo Climb,,Ground,
,Ariana,30,Blue 1,2357,,,0,1,TRUE,Failed Left Center Line 5,,TRUE,4,1,,0,Solo Climb,,Ground,had a hard time combating defense
,Ariana,30,Blue 1,2357,,,0,1,TRUE,Failed Left Center Line 5,,TRUE,4,1,,0,Solo Climb,,Ground,had a hard time combating defense
,Jaleb,30,Blue 2,7525,,,0,2,FALSE,Center Spike,,FALSE,0,0,,0,Solo Climb,Failed Auto,Ground,Their intake is messed up
,Coby,30,Blue 2,7525,,,0,3,FALSE,,,FALSE,0,1,,0,Solo Climb,Parts Fell Off/Broke,Ground,Shoulda been a penalty
,Leif,30,Blue 3,9608,,,0,0,FALSE,,,FALSE,0,0,,0,,"Disabled , Failed Auto",,It didn’t do anything the entire round.
,Dillon,30,Red 1,1781,,,0,1,TRUE,,,TRUE,0,2,,0,Solo Climb,,"Ground , Source",Tbh i didnt watch. Too hype. I dont like 1781
,Dillon,30,Red 1,1781,,,0,1,TRUE,,,TRUE,0,2,,0,Solo Climb,,"Ground , Source",Tbh i didnt watch. Too hype. I dont like 1781
,alex,30,Blue 3,9608,,,0,0,FALSE,,,FALSE,0,0,,0,,,,literally didnt do anything
,Nisala,30,Red 2,5002,,,0,0,TRUE,,,FALSE,0,0,,0,,,,"Reasonable-ish defense against us (I mean, we lost the match)"
,Nisala,30,Red 2,5002,,,0,0,TRUE,,,FALSE,0,0,,0,,,,"Reasonable-ish defense against us (I mean, we lost the match)"
,Maggie,31,Red 2,1622,,,0,0,TRUE,,,TRUE,2,1,,0,,,Ground,
,Fanta,31,Blue 1,6186,,,0,0,FALSE,Left Spike,,FALSE,0,0,,0,,,Source,"Didn’t really attempt to score, have to other teammates."
,lucia,31,Blue 3,7483,,,0,0,FALSE,,,FALSE,1,0,,0,,,,intake broke maybe? they drove around with the intake out but not shooting
,Ridge,31,Blue 2,6586,,,0,1,FALSE,,,FALSE,0,1,,0,Solo Climb,Tipped/Tippy,Ground,Not good at shooting
,Jonathan,31,Blue 2,6586,,,0,0,TRUE,Center Spike,,FALSE,0,2,,0,,Failed Auto,Ground,weak shooter
,Damari,31,Blue 1,6186,,,0,0,TRUE,,,FALSE,0,0,,0,,,Source,
,Mariana,31,Red 2,1622,,,0,1,TRUE,Failed Center Spike,,TRUE,1,2,,0,,Disabled,Ground,"disabled but enabled later, didn’t climb and went to the other alliance’s amp for some reason??? idk what they were doing"
,Noah Carrillo,31,Red 3,8044,,,0,0,TRUE,,,FALSE,3,6,,0,,,Ground,Intake is found at the right side of the not.
,sofiya,31,Blue 3,7483,,,0,1,FALSE,,,FALSE,0,1,,0,,Disabled,,they were doo doo ngl died half of the match and didn't score they played mid Def almost pinned their own tm8 - yussuf
,Logan,31,Red 3,8044,,,0,0,TRUE,,,FALSE,3,5,,0,,Failed Auto,Ground,"Their auto could move but not shoot, they got notes stuck between their intake and shooter."
,Nisala,31,Red 1,9073,,,0,0,FALSE,,,FALSE,0,0,,0,,,,"Did nothing, bad defense"
,Nisala,31,Red 1,9073,,,0,0,FALSE,,,FALSE,0,0,,0,,,,"Did nothing, bad defense"
,Mariana,32,Red 2,3792,,,0,0,FALSE,,,FALSE,0,1,,0,Solo Climb,,,
,Fanta,32,Blue 1,5454,,,0,0,TRUE,,,TRUE,3,1,,0,,,Ground,
,Maggie,32,Red 2,3792,,,0,0,FALSE,,,FALSE,0,1,,0,Solo Climb,,Ground,
,Noah Carrillo,32,Red 3,2992,,,0,1,TRUE,,,FALSE,5,2,,0,,,"Ground , Source",
,Damari,32,Blue 1,5454,,,0,0,FALSE,,,FALSE,3,1,,0,,,Ground,
,lucia,32,Blue 3,5437,,,0,0,FALSE,,,FALSE,0,0,,0,,"Tipped/Tippy , Disabled",,"Kept missing shots, and were SUPER SUPER wobbly"
,Jonathan,32,Blue 2,323,,,0,0,TRUE,Center Line 1,,TRUE,0,5,,0,,"Parts Fell Off/Broke , Failed Auto",Ground,intake or shooter broke?
,Ridge,32,Blue 2,323,,,0,0,FALSE,,,TRUE,0,4,,0,,Parts Fell Off/Broke,Ground,Good speed and aim when functioning properly
,sofiya,32,Blue 3,5437,,,0,0,FALSE,,,FALSE,0,0,,0,,"Tipped/Tippy , Disabled",,"do not trust any of my data prior to match 31
very unfortunate performance"
,Logan,32,Red 3,2992,,,0,1,FALSE,,,FALSE,4,2,,0,Solo Climb,,Ground,"Very quick and controlled driving, good at avoiding defense, auto was buggy tho"
,Nisala,32,Red 1,16,,,0,1,TRUE,,,FALSE,4,0,,0,,Parts Fell Off/Broke,Ground,"Couldn't shoot, and not amazing amp cycles -- likely broken"
,Nisala,32,Red 1,16,,,0,1,TRUE,,,FALSE,4,0,,0,,Parts Fell Off/Broke,Ground,"Couldn't shoot, and not amazing amp cycles -- likely broken"
,Noah Carrillo,33,Red 3,2190,,,0,0,TRUE,,,FALSE,0,0,,0,,,,
,Fanta,33,Blue 1,2341,,,0,0,TRUE,,,FALSE,1,1,,0,2 Robot Climb,,Ground,
,Ridge,33,Blue 2,4107,,,0,0,FALSE,,,FALSE,2,6,,0,,,Ground,
,lucia,33,Blue 3,3616,,,0,1,TRUE,Left Spike,,FALSE,0,0,,0,Solo Climb,,,note got stuck i think
,Damari,33,Blue 1,2341,,,0,0,FALSE,,,FALSE,1,2,,0,Solo Climb,,Ground,
,sofiya,33,Blue 3,3616,,,0,1,FALSE,,,FALSE,0,0,,0,Solo Climb,,Ground,I think their intake got stuck
,Jonathan,33,Blue 2,4107,,,0,1,TRUE,Center Spike,,FALSE,2,4,,0,,,"Ground , Source",
,Logan,33,Red 3,2190,,,0,0,FALSE,,,FALSE,0,0,,0,Solo Climb,,,"Can barely move, can’t defend, cant score"
,Nisala,33,Red 1,9608,,,0,0,FALSE,,,FALSE,0,3,,0,,,Source,Not great.
,Nisala,33,Red 1,9608,,,0,0,FALSE,,,FALSE,0,3,,0,,,Source,Not great.
,ridleyt,33,Red 2,4336,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,4,1,,0,Solo Climb,,Ground,missed like 4 shots
,ridleyt,33,Red 2,4336,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,4,1,,0,Solo Climb,,Ground,missed like 4 shots
,Noah Carrillo,34,Red 3,6186,,,0,0,TRUE,,,FALSE,0,0,,0,,,,It sat in the corner.
,lucia,34,Blue 3,7483,,,0,0,FALSE,,,FALSE,0,0,,0,,,,"mostly played defense, but last forty seconds was mostly idle"
,Maggie,34,Red 2,3102,,,0,1,TRUE,,,FALSE,0,2,,0,,,Source,
,Ridge,34,Blue 2,9067,,,0,0,FALSE,,,FALSE,2,4,,0,Solo Climb,Failed Auto,Ground,
